PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Andrew Wiggins,1,CLE,2014,82.0,36.2,6.1,13.9,4.3,5.7,1.6,2.9,2.1,1.0,0.6,2.2,2.3,16.9,29.1,-1.5,2.8,11.5
Jabari Parker,2,MIL,2014,25.0,29.5,5.2,10.5,1.8,2.6,2.0,3.5,1.7,1.2,0.2,1.9,1.7,12.3,13.8,-0.8,2.5,12.6
Joel Embiid,3,PHI,2014,,,,,,,,,,,,,,,63.5,7.0,31.4,
Aaron Gordon,4,ORL,2014,47.0,17.0,2.0,4.4,0.9,1.3,1.0,2.6,0.7,0.4,0.5,0.8,1.8,5.2,42.6,0.3,11.3,9.5
Dante Exum,5,UTA,2014,82.0,22.2,1.8,5.1,0.2,0.4,0.3,1.3,2.4,0.5,0.2,1.4,1.8,4.8,5.9,-2.8,-1.2,4.0
Marcus Smart,6,BOS,2014,67.0,27.0,2.6,7.1,1.2,1.9,0.9,2.4,3.1,1.5,0.3,1.3,2.6,7.8,33.4,-0.3,7.6,9.3
Julius Randle,7,LAL,2014,1.0,14.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,43.3,0.9,15.2,-8.2
Nik Stauskas,8,SAC,2014,73.0,15.4,1.5,4.1,0.8,0.9,0.2,1.1,0.9,0.3,0.2,0.5,1.3,4.4,3.9,-3.0,-1.7,6.2
Noah Vonleh,9,CHO,2014,25.0,10.4,1.2,3.0,0.7,1.0,1.1,2.3,0.2,0.2,0.4,0.4,0.8,3.3,9.4,-2.5,-0.7,12.0
Elfrid Payton,10,PHI,2014,82.0,30.4,3.7,8.6,1.4,2.6,1.3,3.0,6.5,1.7,0.2,2.5,2.4,8.9,15.8,-0.9,3.7,11.1
Doug McDermott,11,DEN,2014,36.0,8.9,1.2,3.0,0.3,0.4,0.2,1.0,0.2,0.1,0.0,0.5,0.8,3.0,21.1,-2.1,-0.3,4.4
Dario Šarić,12,ORL,2014,,,,,,,,,,,,,,,20.9,-0.7,3.6,
Zach LaVine,13,MIN,2014,77.0,24.7,3.7,8.8,1.9,2.3,0.4,2.4,3.6,0.7,0.1,2.5,2.1,10.1,32.2,0.7,12.7,9.0
T.J. Warren,14,PHO,2014,40.0,15.4,2.8,5.4,0.4,0.5,1.0,1.1,0.6,0.5,0.2,0.7,1.3,6.1,20.9,-0.4,4.1,11.6
Adreian Payne,15,ATL,2014,3.0,6.3,0.7,2.3,0.3,0.7,0.3,1.0,0.0,0.3,0.0,0.0,1.3,1.7,-0.6,-5.9,-1.4,1.8
Adreian Payne,15,ATL,2014,29.0,24.8,3.1,7.3,1.0,1.5,1.6,3.8,1.0,0.6,0.3,1.5,2.9,7.2,-0.6,-5.9,-1.4,6.6
Jusuf Nurkić,16,CHI,2014,62.0,17.8,2.8,6.2,1.4,2.1,2.0,4.1,0.8,0.8,1.1,1.4,3.3,6.9,31.8,0.5,8.4,12.8
James Young,17,BOS,2014,31.0,10.7,1.2,3.3,0.5,0.9,0.3,1.1,0.4,0.3,0.1,0.2,0.7,3.4,0.8,-3.4,-0.3,7.3
Tyler Ennis,18,PHO,2014,25.0,14.1,1.7,4.9,0.1,0.2,0.2,0.9,2.4,0.7,0.1,1.4,1.3,4.0,1.3,-3.4,-0.8,4.9
Tyler Ennis,18,PHO,2014,8.0,7.3,1.1,2.6,0.3,0.3,0.1,0.8,1.8,0.0,0.3,1.0,0.4,2.8,1.3,-3.4,-0.8,10.4
Gary Harris,19,CHI,2014,55.0,13.1,1.2,3.9,0.6,0.9,0.4,0.8,0.5,0.7,0.1,0.7,1.3,3.4,25.8,-1.3,2.8,3.6
Bruno Caboclo,20,TOR,2014,8.0,2.9,0.5,1.5,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.5,0.4,1.3,1.5,-2.7,-0.2,-2.8
Mitch McGary,21,OKC,2014,32.0,15.2,2.8,5.2,0.8,1.3,1.7,3.5,0.4,0.5,0.5,1.0,2.3,6.3,1.3,-2.6,-0.1,14.1
Jordan Adams,22,MEM,2014,30.0,8.3,1.2,2.9,0.5,0.8,0.3,0.6,0.5,0.5,0.2,0.5,0.8,3.1,0.4,1.7,0.2,9.2
Rodney Hood,23,UTA,2014,50.0,21.3,3.1,7.5,1.2,1.6,0.2,2.2,1.7,0.6,0.2,0.9,2.4,8.7,17.4,-1.2,2.2,9.3
Shabazz Napier,24,CHO,2014,51.0,19.8,1.7,4.5,0.9,1.1,0.3,1.9,2.5,0.8,0.1,1.6,1.5,5.1,8.1,-0.7,2.0,6.9
Clint Capela,25,HOU,2014,12.0,7.5,1.2,2.4,0.3,1.9,0.8,2.2,0.2,0.1,0.8,0.4,1.2,2.7,66.4,1.8,15.6,10.2
P.J. Hairston,26,MIA,2014,45.0,15.3,1.9,6.0,0.7,0.8,0.5,1.6,0.5,0.5,0.3,0.5,1.4,5.6,0.9,-3.9,-1.0,6.9
Bogdan Bogdanović,27,PHO,2014,,,,,,,,,,,,,,,22.9,0.4,7.8,
C.J. Wilcox,28,LAC,2014,21.0,4.8,0.8,1.8,0.1,0.1,0.0,0.3,0.4,0.1,0.0,0.5,0.3,2.0,0.1,-4.3,-0.2,6.4
Josh Huestis,29,OKC,2014,,,,,,,,,,,,,,,0.7,-3.5,-0.4,
Kyle Anderson,30,SAS,2014,33.0,10.8,0.9,2.7,0.3,0.4,0.2,2.0,0.8,0.5,0.2,0.3,0.8,2.2,36.6,1.8,13.6,6.8
Damien Inglis,31,MIL,2014,,,,,,,,,,,,,,,-0.1,-5.6,-0.1,
K.J. McDaniels,32,PHI,2014,10.0,3.3,0.5,1.5,0.1,0.2,0.1,0.4,0.2,0.0,0.2,0.1,0.5,1.1,1.3,-2.8,-0.4,3.5
K.J. McDaniels,32,PHI,2014,52.0,25.4,3.2,8.1,1.9,2.5,1.2,2.5,1.3,0.8,1.3,2.0,2.3,9.2,1.3,-2.8,-0.4,9.0
Joe Harris,33,CLE,2014,51.0,9.7,0.9,2.4,0.2,0.3,0.1,0.7,0.5,0.1,0.0,0.5,1.2,2.7,23.1,-0.7,4.1,3.4
Cleanthony Early,34,NYK,2014,39.0,16.6,1.9,5.5,0.9,1.2,0.6,1.9,0.9,0.6,0.3,1.0,1.5,5.4,-0.6,-5.9,-0.8,6.5
Jarnell Stokes,35,UTA,2014,19.0,6.6,1.1,1.9,0.8,1.5,0.8,0.9,0.2,0.3,0.3,0.4,1.3,3.0,0.6,0.1,0.1,15.3
Johnny O'Bryant,36,MIL,2014,34.0,10.8,1.3,3.5,0.4,0.8,0.8,1.1,0.5,0.1,0.1,0.7,1.3,2.9,0.2,-6.2,-1.8,3.0
DeAndre Daniels,37,TOR,2014,,,,,,,,,,,,,,,,,,
Spencer Dinwiddie,38,DET,2014,34.0,13.4,1.5,5.0,0.9,1.0,0.1,1.3,3.1,0.6,0.2,1.0,1.6,4.3,32.4,0.1,7.9,8.0
Jerami Grant,39,PHI,2014,65.0,21.2,1.9,5.4,1.8,3.0,0.8,2.3,1.2,0.6,1.0,1.3,2.2,6.3,34.8,-0.4,7.7,7.0
Glenn Robinson III,40,MIN,2014,25.0,4.3,0.3,1.0,0.5,0.6,0.2,0.4,0.1,0.1,0.0,0.1,0.2,1.2,7.9,-1.7,0.4,7.6
Glenn Robinson III,40,MIN,2014,10.0,15.3,1.8,4.3,0.4,0.8,1.1,1.4,0.8,0.3,0.1,0.8,1.0,4.4,7.9,-1.7,0.4,7.5
Nikola Jokić,41,DEN,2014,,,,,,,,,,,,,,,111.6,9.9,63.4,
Nick Johnson,42,HOU,2014,28.0,9.4,0.9,2.7,0.6,0.9,0.5,0.9,0.4,0.3,0.1,0.7,1.2,2.6,-0.1,-6.5,-0.3,3.6
Edy Tavares,43,ATL,2014,,,,,,,,,,,,,,,0.2,-0.4,0.0,
Markel Brown,44,MIN,2014,47.0,16.6,1.6,4.5,1.0,1.2,0.3,1.9,0.8,0.7,0.3,0.6,1.2,4.6,1.1,-2.9,-0.4,7.2
Dwight Powell,45,CHO,2014,5.0,1.8,0.8,1.0,0.2,0.4,0.0,0.2,0.0,0.4,0.0,0.4,0.2,1.8,46.2,0.9,8.7,29.9
